slot_id,kit,time,scene_desc
anchor_01,street,day,"quiet residential street sidewalk, low concrete wall, bushes behind wall, one roadside tree"
anchor_02,street,day,"narrow alley between low houses, potted plants, electric pole with tangled wires"
anchor_03,street,day,"crosswalk on empty street, traffic light, low buildings far away"
anchor_04,street,sunset,"residential street at dusk, long soft shadows, warm orange sky band"
anchor_05,park,day,"small neighborhood park, grass field, single big tree, wooden bench"
anchor_06,park,day,"park path with low hedge rows, distant playground silhouette"
anchor_07,park,sunset,"park pond edge, reeds, calm water reflecting cream sky"
anchor_08,subway,day,"subway station interior, tiled floor, ticket gates, pillars"
anchor_09,subway,day,"subway platform, safety door line, benches, hanging signs (blank, no text)"
anchor_10,office,day,"office interior, cubicle partitions, desk with monitor, ceiling lights"
anchor_11,office,day,"office corridor, doors and frosted glass walls"
anchor_12,home,day,"cozy apartment living room, sofa, low table, window light"
anchor_13,home,morning,"apartment entryway, shoe cabinet, front door"
anchor_14,market,day,"small street market stalls with awnings, crates of vegetables (no people)"
anchor_15,market,day,"old corner shop front, hand-painted blank signboard, stacked goods"
anchor_16,riverside,day,"riverside walking path, railing, grass slope, wide calm river"
anchor_17,riverside,sunset,"riverside at golden hour, bridge silhouette far away"
anchor_18,school,day,"elementary school gate, low fence, ginkgo trees"
anchor_19,school,day,"empty school playground, single goalpost, sand ground"
anchor_20,hill,day,"gentle hill path with steps, view over low rooftops"
anchor_21,hill,sunset,"hilltop rest spot, single bench, town below in haze"
anchor_22,rain,rain,"street in soft rain, wet asphalt sheen, umbrella stand by shop door"
anchor_23,night,night,"quiet street at night, warm streetlamp pools of light, deep blue sky"
anchor_24,winter,day,"snowy neighborhood street, snow on wall tops and branches"
anchor_25,beach,day,"small beach boardwalk, sand, calm sea horizon line"
anchor_26,cafe,day,"small cafe interior, counter, two tables, window seat"
anchor_27,rooftop,day,"apartment rooftop, water tank, laundry lines, sky dominant"
anchor_28,alleycat,day,"back alley with stacked boxes, drain pipe, small gap under fence"
anchor_29,bus,day,"bus stop shelter on wide sidewalk, route sign (blank)"
anchor_30,tunnel,day,"short pedestrian underpass, soft light at both ends"
